name,institution,count_reviews,rating_mean
Machine Learning,Stanford University,35895,4.75
Indigenous Canada,University of Alberta,3702,4.81
The Science of Well-Being,Yale University,20085,4.93
Technical Support Fundamentals,Google,35319,4.78
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,87,4.93
Financial Markets,Yale University,8918,4.82
Introduction to Psychology,Yale University,8426,4.84
Programming for Everybody (Getting Started with Python),University of Michigan,45218,4.58
The Bits and Bytes of Computer Networking,Google,14176,4.65
AI For Everyone,DeepLearning.AI,21630,4.84
Crash Course on Python,Google,9399,4.73
Psychological First Aid,Johns Hopkins University,7666,4.87
Neural Networks and Deep Learning,DeepLearning.AI,35750,4.78
What is Data Science?,IBM,21087,4.63
Successful Negotiation: Essential Strategies and Skills,University of Michigan,7841,4.81
Fundamentals of Project Planning and Management,University of Virginia,3264,4.77
Project Launch,"University of California, Irvine",106,4.39
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,2961,4.9
Writing in the Sciences,Stanford University,3282,4.93
Stanford Introduction to Food and Health,Stanford University,12839,4.71
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,9330,4.76
Excel Skills for Business: Essentials,Macquarie University,21251,4.9
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,2870,4.92
"Everyday Excel, Part 1",University of Colorado Boulder,889,4.83
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,32265,4.8
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,17425,4.72
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,3543,4.76
Python Data Structures,University of Michigan,33546,4.85
Private Equity and Venture Capital,Università Bocconi,2714,4.76
First Step Korean,Yonsei University,14889,4.87
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,7350,4.66
Operating Systems and You: Becoming a Power User,Google,6315,4.51
Tools for Data Science,IBM,8241,4.04
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,17853,4.82
Diversity and inclusion in the workplace,ESSEC Business School,284,4.71
Design and Interpretation of Clinical Trials,Johns Hopkins University,1365,4.73
Visual Elements of User Interface Design,California Institute of the Arts,1966,4.59
Management of Fashion and Luxury Companies,Università Bocconi,2620,4.71
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,7277,4.87
Social Psychology,Wesleyan University,3293,4.89
Initiating and Planning Projects,"University of California, Irvine",8595,4.72
Computational Thinking for Problem Solving,University of Pennsylvania,681,4.69
Agile with Atlassian Jira,Atlassian,1955,4.67
Fundamentals of Graphic Design,California Institute of the Arts,7985,4.79
Introduction to User Experience Design,Georgia Institute of Technology,1967,4.47
Introduction to Marketing,University of Pennsylvania,5250,4.73
Python for Data Science and AI,IBM,7989,4.31
Marketing Analytics,University of Virginia,4062,4.65
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,852,4.35
Fundamentals of Quantitative Modeling,University of Pennsylvania,3588,4.57
How to Manage a Remote Team,GitLab,15,5.0
Mathematics for Machine Learning: Linear Algebra,Imperial College London,4711,4.61
Introduction to Data Science in Python,University of Michigan,14292,4.25
Customer Analytics,University of Pennsylvania,5946,4.45
Introduction to Psychology,University of Toronto,3206,4.89
English for Career Development,University of Pennsylvania,7515,4.85
Global Diplomacy – Diplomacy in the Modern World,University of London,2298,4.64
SQL for Data Science,"University of California, Davis",5163,4.51
Write Professional Emails in English,Georgia Institute of Technology,8786,4.82
Medical Neuroscience,Duke University,1374,4.91
System Administration and IT Infrastructure Services,Google,5325,4.66
International Women's Health and Human Rights,Stanford University,624,4.89
Child Nutrition and Cooking,Stanford University,5388,4.74
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,1355,4.92
Introduction to Social Media Marketing,Facebook,132,4.89
Forensic Accounting and Fraud Examination,West Virginia University,2493,4.73
Clinical Terminology for International and U.S. Students,University of Pittsburgh,1033,4.8
Science of Exercise,University of Colorado Boulder,2694,4.85
Digital Product Management: Modern Fundamentals,University of Virginia,2101,4.71
Data Science Math Skills,Duke University,4956,4.48
Structuring Machine Learning Projects,DeepLearning.AI,14295,4.71
An Introduction to American Law,University of Pennsylvania,1943,4.87
The Strategy of Content Marketing,"University of California, Davis",2214,4.47
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,3378,4.27
The Data Scientist’s Toolbox,Johns Hopkins University,17598,4.49
Animal Behaviour and Welfare,The University of Edinburgh,2160,4.81
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,2311,4.47
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,3916,4.9
Introduction to the Biology of Cancer,Johns Hopkins University,2800,4.81
Convolutional Neural Networks,DeepLearning.AI,3735,3.88
