course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
Ultimate Investment Banking Course,True,200,2147,23,51,All Levels,1.5,2017-01-18,Business Finance
Complete GST Course & Certification - Grow Your CA Practice,True,75,2792,923,274,All Levels,39.0,2017-03-09,Business Finance
Financial Modeling for Business Analysts and Consultants,True,45,2174,74,51,Intermediate Level,2.5,2016-12-19,Business Finance
Beginner to Pro - Financial Analysis in Excel 2017,True,95,2451,11,36,All Levels,3.0,2017-05-30,Business Finance
How To Maximize Your Profits Trading Options,True,200,1276,45,26,Intermediate Level,2.0,2016-12-13,Business Finance
Trading Penny Stocks: A Guide for All Levels In 2017,True,150,9221,138,25,All Levels,3.0,2014-05-02,Business Finance
Investing And Trading For Beginners: Mastering Price Charts,True,65,1540,178,26,Beginner Level,1.0,2016-02-21,Business Finance
"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95,2917,148,23,All Levels,2.5,2015-01-30,Business Finance
Options Trading 3 : Advanced Stock Profit and Success Method,True,195,5172,34,38,Expert Level,2.5,2015-05-28,Business Finance
The Only Investment Strategy You Need For Your Retirement,True,200,827,14,15,All Levels,1.0,2017-04-18,Business Finance
Forex Trading Secrets of the Pros With Amazon's AWS,True,200,4284,93,76,All Levels,5.0,2015-09-11,Business Finance
Trading Options With Money Flow,True,200,1380,42,17,All Levels,1.0,2016-10-18,Business Finance
Financial Management Risk and Return For Securities,True,30,3607,21,19,All Levels,1.5,2016-02-03,Business Finance
Forex Trading Course: Work Smarter Not Harder Proven Results,True,195,4061,52,16,All Levels,2.0,2016-03-16,Business Finance
Python Algo Trading: Sentiment Trading with News,True,200,294,19,42,All Levels,7.0,2017-04-28,Business Finance
Short Selling: Learn To Sell Stocks Before The Fall,True,75,2276,106,19,Intermediate Level,1.5,2015-06-22,Business Finance
Basic Technical Analysis: Learn the structure of the market,True,20,4919,79,16,Beginner Level,1.5,2016-01-08,Business Finance
The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,115,52,All Levels,4.0,2015-08-10,Business Finance
7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50,5354,24,23,All Levels,1.5,2015-09-21,Business Finance
Financial Statements Made Easy,True,95,8095,249,12,Beginner Level,0.5833333333333334,2013-06-09,Business Finance
Winning Forex Trading with Live Forex Trading Examples,True,200,809,3,25,All Levels,2.0,2017-06-06,Business Finance
Forex Traders - Create Your First Trading Robot. No Coding!,True,200,2295,84,39,All Levels,4.0,2016-05-02,Business Finance
Create A Business From Home Trading Stocks Today In 2017,True,75,10149,83,16,All Levels,2.0,2015-05-26,Business Finance
Introduction to Accounting : Mastering Financial Statements,True,50,1916,38,23,Beginner Level,1.0,2016-12-05,Business Finance
The Complete Ethereum Course: Get .01 Ether In Your Wallet,True,45,2507,333,40,All Levels,2.0,2016-05-30,Business Finance
Beginner to Pro in PowerPoint: Complete PowerPoint Training,True,150,5786,518,50,All Levels,5.0,2015-01-31,Business Finance
Investing 101: The Complete Online Investing Course,True,200,5334,373,42,All Levels,4.5,2014-11-28,Business Finance
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,True,175,4005,237,25,Intermediate Level,2.0,2015-04-12,Business Finance
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),True,150,2877,103,81,All Levels,4.5,2016-04-26,Business Finance
Forex Trading: Your Complete Guide to Get Started Like a Pro,True,140,1026,25,37,Beginner Level,3.0,2017-06-27,Business Finance
Python Algo Stock Trading: Automate Your Trading!,True,95,1165,21,41,Beginner Level,2.5,2017-05-28,Business Finance
THE Forex Robot: Incredible ROI (Robot Included),True,200,1843,171,35,All Levels,1.5,2016-10-04,Business Finance
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,True,45,8797,449,80,All Levels,6.5,2015-01-09,Business Finance
Mastering High Probability Iron Condor Options Trading,True,200,1030,11,22,All Levels,2.0,2017-06-01,Business Finance
The Complete Short Course on Ethereum,True,200,1041,12,28,All Levels,1.5,2017-06-11,Business Finance
Options Trading Stocks: Proven Toolbox For Financial Success,True,195,7884,118,68,Intermediate Level,10.0,2015-05-19,Business Finance
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,True,195,16900,2476,52,Beginner Level,5.5,2014-12-12,Business Finance
"Introduction to Finance, Accounting, Modeling and Valuation",True,200,11441,1118,61,All Levels,4.5,2016-06-28,Business Finance
Beginner to Pro in Excel: Financial Modeling and Valuation,True,195,22257,2697,138,All Levels,7.5,2014-11-25,Business Finance
The Complete Investment Banking Course 2017,True,195,8575,809,110,All Levels,5.5,2016-10-10,Business Finance
The Complete Financial Analyst Course 2017,True,195,24481,2347,174,All Levels,10.0,2016-01-21,Business Finance
Python for Finance: Investment Fundamentals & Data Analytics,True,195,3811,278,103,All Levels,6.5,2017-03-30,Business Finance
Financial Modeling for Startups & Small Businesses,True,195,4991,137,79,Beginner Level,11.5,2017-03-29,Business Finance
Options Trading - How to Win with Weekly Options,True,115,7489,1190,25,Intermediate Level,1.0,2015-10-22,Business Finance
Black Algo Trading: Build Your Trading Robot,True,200,20195,1113,227,All Levels,16.0,2014-10-27,Business Finance
Accounting & Financial Statement Analysis: Complete Training,True,150,10042,594,43,All Levels,3.0,2015-10-22,Business Finance
Cryptocurrency Trading: Complete Guide To Trading Altcoins,True,95,367,42,35,All Levels,5.0,2017-06-21,Business Finance
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,True,200,10603,872,42,All Levels,5.5,2014-10-12,Business Finance
Three Steps Trading - Live Trading - Real Account,True,190,1197,11,46,All Levels,5.0,2017-05-24,Business Finance
Option Trading for Rookies:  Understand Options Completely,True,150,2893,65,62,All Levels,2.0,2016-08-10,Business Finance
How I Learned Stock Trading (and How You Can Too),True,200,1580,12,53,Expert Level,2.0,2017-05-02,Business Finance
Learn to Trade for Profit: Find and Trade Winning Stocks,True,95,10605,71,77,All Levels,3.0,2014-10-24,Business Finance
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,True,125,2996,200,23,Intermediate Level,2.0,2015-03-09,Business Finance
Four Fundamentals of Financial Planning,True,30,6219,23,20,All Levels,1.0,2017-02-14,Business Finance
Options Trading - Calendar Spread Course for Every Trader,True,200,1113,11,17,All Levels,1.5,2017-04-02,Business Finance
Dividend Investing: Build Your Portfolio for a Better Future,True,60,8314,83,47,Beginner Level,4.0,2015-01-24,Business Finance
Learn Accounting. Understand Business.,True,200,5572,123,33,Beginner Level,5.5,2014-03-27,Business Finance
How to Consistently Win Trading Stocks in 30 Days or Less,True,145,1433,169,15,Intermediate Level,1.0,2016-05-09,Business Finance
A Beginner's Guide to Quantopian Futures API,True,20,936,6,11,Intermediate Level,1.5,2017-04-11,Business Finance
How to Buy Cheap Options - Options Trading Pricing Model,True,200,658,2,19,All Levels,1.0,2017-06-02,Business Finance
Excel Crash Course: Master Excel for Financial Analysis,True,105,8121,689,40,All Levels,3.5,2016-10-18,Business Finance
"Comprehensive Guide to Financial Markets, Investing &Trading",True,60,4187,600,79,Beginner Level,9.0,2016-02-29,Business Finance
